instant,dteday,season,year,month,hours,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,day_category,humidity_category,time_of_day
4898,2011-07-27,Fall,2011,Jul,23,0,Wednesday,Weekdays,Clear,0.74,0.6667,45.0,0.0896,16,93,109,3,Normal,Evening
4899,2011-07-28,Fall,2011,Jul,0,0,Thursday,Weekdays,Clear,0.7,0.6515,51.0,0.1343,14,31,45,4,Normal,Night
4900,2011-07-28,Fall,2011,Jul,1,0,Thursday,Weekdays,Clear,0.72,0.6667,51.0,0.0,3,26,29,4,Normal,Night
4901,2011-07-28,Fall,2011,Jul,2,0,Thursday,Weekdays,Clear,0.72,0.6667,54.0,0.1045,2,5,7,4,Normal,Night
4902,2011-07-28,Fall,2011,Jul,3,0,Thursday,Weekdays,Clear,0.72,0.6667,54.0,0.0,0,5,5,4,Normal,Night
4903,2011-07-28,Fall,2011,Jul,4,0,Thursday,Weekdays,Clear,0.7,0.6515,61.0,0.1045,0,6,6,4,Normal,Night
4904,2011-07-28,Fall,2011,Jul,5,0,Thursday,Weekdays,Clear,0.7,0.6515,65.0,0.1045,1,26,27,4,Sangat Lembab,Night
4905,2011-07-28,Fall,2011,Jul,6,0,Thursday,Weekdays,Clear,0.7,0.6515,70.0,0.0896,6,110,116,4,Sangat Lembab,Morning
4906,2011-07-28,Fall,2011,Jul,7,0,Thursday,Weekdays,Clear,0.72,0.6818,70.0,0.1642,27,278,305,4,Sangat Lembab,Morning
4907,2011-07-28,Fall,2011,Jul,8,0,Thursday,Weekdays,Clear,0.74,0.697,66.0,0.1642,47,409,456,4,Sangat Lembab,Morning
4908,2011-07-28,Fall,2011,Jul,9,0,Thursday,Weekdays,Clear,0.78,0.7424,59.0,0.194,21,189,210,4,Normal,Morning
4909,2011-07-28,Fall,2011,Jul,10,0,Thursday,Weekdays,Clear,0.8,0.7576,55.00000000000001,0.2836,30,86,116,4,Normal,Morning
4910,2011-07-28,Fall,2011,Jul,11,0,Thursday,Weekdays,Clear,0.84,0.8182,56.00000000000001,0.2836,41,113,154,4,Normal,Morning
4911,2011-07-28,Fall,2011,Jul,12,0,Thursday,Weekdays,Clear,0.84,0.803,53.0,0.2537,35,151,186,4,Normal,Afternoon
4912,2011-07-28,Fall,2011,Jul,13,0,Thursday,Weekdays,Clear,0.86,0.803,47.0,0.2537,26,126,152,4,Normal,Afternoon
4913,2011-07-28,Fall,2011,Jul,14,0,Thursday,Weekdays,Misty,0.84,0.7879,49.0,0.2537,27,111,138,4,Normal,Afternoon
4914,2011-07-28,Fall,2011,Jul,15,0,Thursday,Weekdays,Clear,0.86,0.8182,50.0,0.194,22,124,146,4,Normal,Afternoon
4915,2011-07-28,Fall,2011,Jul,16,0,Thursday,Weekdays,Clear,0.86,0.803,47.0,0.1642,42,214,256,4,Normal,Afternoon
4916,2011-07-28,Fall,2011,Jul,17,0,Thursday,Weekdays,Clear,0.84,0.803,53.0,0.194,45,423,468,4,Normal,Afternoon
4917,2011-07-28,Fall,2011,Jul,18,0,Thursday,Weekdays,Clear,0.84,0.8182,56.00000000000001,0.2239,55,428,483,4,Normal,Evening
4918,2011-07-28,Fall,2011,Jul,19,0,Thursday,Weekdays,Clear,0.82,0.803,59.0,0.194,37,285,322,4,Normal,Evening
4919,2011-07-28,Fall,2011,Jul,20,0,Thursday,Weekdays,Clear,0.8,0.7879,63.0,0.194,41,229,270,4,Normal,Evening
4920,2011-07-28,Fall,2011,Jul,21,0,Thursday,Weekdays,Clear,0.78,0.7576,66.0,0.2836,31,165,196,4,Sangat Lembab,Evening
4921,2011-07-28,Fall,2011,Jul,22,0,Thursday,Weekdays,Clear,0.76,0.7273,70.0,0.2537,25,149,174,4,Sangat Lembab,Evening
4922,2011-07-28,Fall,2011,Jul,23,0,Thursday,Weekdays,Clear,0.76,0.7424,75.0,0.194,28,95,123,4,Sangat Lembab,Evening
4923,2011-07-29,Fall,2011,Jul,0,0,Friday,Weekdays,Clear,0.74,0.7121,79.0,0.1642,12,45,57,5,Sangat Lembab,Night
4924,2011-07-29,Fall,2011,Jul,1,0,Friday,Weekdays,Clear,0.74,0.7121,79.0,0.1343,12,22,34,5,Sangat Lembab,Night
4925,2011-07-29,Fall,2011,Jul,2,0,Friday,Weekdays,Clear,0.74,0.7121,79.0,0.0,3,10,13,5,Sangat Lembab,Night
4926,2011-07-29,Fall,2011,Jul,3,0,Friday,Weekdays,Clear,0.74,0.7121,79.0,0.0,2,9,11,5,Sangat Lembab,Night
4927,2011-07-29,Fall,2011,Jul,4,0,Friday,Weekdays,Clear,0.72,0.7121,84.0,0.1343,2,4,6,5,Sangat Lembab,Night
4928,2011-07-29,Fall,2011,Jul,5,0,Friday,Weekdays,Clear,0.72,0.7121,84.0,0.0,4,23,27,5,Sangat Lembab,Night
4929,2011-07-29,Fall,2011,Jul,6,0,Friday,Weekdays,Misty,0.72,0.7121,84.0,0.0,7,83,90,5,Sangat Lembab,Morning
4930,2011-07-29,Fall,2011,Jul,7,0,Friday,Weekdays,Misty,0.74,0.7121,79.0,0.0896,26,228,254,5,Sangat Lembab,Morning
4931,2011-07-29,Fall,2011,Jul,8,0,Friday,Weekdays,Misty,0.76,0.7727,77.0,0.0,30,354,384,5,Sangat Lembab,Morning
4932,2011-07-29,Fall,2011,Jul,9,0,Friday,Weekdays,Clear,0.86,0.803,47.0,0.2537,28,151,179,5,Normal,Morning
4933,2011-07-29,Fall,2011,Jul,10,0,Friday,Weekdays,Clear,0.9,0.8485,42.0,0.2836,37,69,106,5,Sangat kering,Morning
4934,2011-07-29,Fall,2011,Jul,11,0,Friday,Weekdays,Clear,0.92,0.8788,40.0,0.2985,43,118,161,5,Sangat kering,Morning
4935,2011-07-29,Fall,2011,Jul,12,0,Friday,Weekdays,Clear,0.96,0.8636,31.0,0.2836,40,95,135,5,Sangat kering,Afternoon
4936,2011-07-29,Fall,2011,Jul,13,0,Friday,Weekdays,Clear,0.94,0.8333,31.0,0.0,42,114,156,5,Sangat kering,Afternoon
4937,2011-07-29,Fall,2011,Jul,14,0,Friday,Weekdays,Clear,0.96,0.8636,30.0,0.2239,34,114,148,5,Sangat kering,Afternoon
4938,2011-07-29,Fall,2011,Jul,15,0,Friday,Weekdays,Clear,0.96,0.8636,30.0,0.2537,40,129,169,5,Sangat kering,Afternoon
4939,2011-07-29,Fall,2011,Jul,16,0,Friday,Weekdays,Clear,0.96,0.8636,30.0,0.3881,35,198,233,5,Sangat kering,Afternoon
4940,2011-07-29,Fall,2011,Jul,17,0,Friday,Weekdays,Clear,0.96,0.8636,30.0,0.2985,47,374,421,5,Sangat kering,Afternoon
4941,2011-07-29,Fall,2011,Jul,18,0,Friday,Weekdays,Clear,0.92,0.8636,37.0,0.3284,49,313,362,5,Sangat kering,Evening
4942,2011-07-29,Fall,2011,Jul,19,0,Friday,Weekdays,Clear,0.9,0.8485,42.0,0.2239,22,219,241,5,Sangat kering,Evening
4943,2011-07-29,Fall,2011,Jul,20,0,Friday,Weekdays,Clear,0.86,0.7879,41.0,0.3284,53,153,206,5,Sangat kering,Evening
4944,2011-07-29,Fall,2011,Jul,21,0,Friday,Weekdays,Clear,0.82,0.7576,46.0,0.1642,29,134,163,5,Normal,Evening
4945,2011-07-29,Fall,2011,Jul,22,0,Friday,Weekdays,Clear,0.8,0.7424,49.0,0.2239,47,127,174,5,Normal,Evening
4946,2011-07-29,Fall,2011,Jul,23,0,Friday,Weekdays,Clear,0.78,0.7121,52.0,0.1045,26,90,116,5,Normal,Evening
4947,2011-07-30,Fall,2011,Jul,0,0,Saturday,Weekend,Clear,0.76,0.697,55.00000000000001,0.194,60,73,133,6,Normal,Night
4948,2011-07-30,Fall,2011,Jul,1,0,Saturday,Weekend,Clear,0.76,0.697,55.00000000000001,0.0896,15,75,90,6,Normal,Night
4949,2011-07-30,Fall,2011,Jul,2,0,Saturday,Weekend,Clear,0.76,0.697,55.00000000000001,0.1045,11,31,42,6,Normal,Night
4950,2011-07-30,Fall,2011,Jul,3,0,Saturday,Weekend,Clear,0.74,0.6818,62.0,0.1642,18,25,43,6,Normal,Night
4951,2011-07-30,Fall,2011,Jul,4,0,Saturday,Weekend,Clear,0.72,0.6818,66.0,0.1642,4,6,10,6,Sangat Lembab,Night
4952,2011-07-30,Fall,2011,Jul,5,0,Saturday,Weekend,Clear,0.72,0.6818,70.0,0.2836,4,9,13,6,Sangat Lembab,Night
4953,2011-07-30,Fall,2011,Jul,6,0,Saturday,Weekend,Clear,0.72,0.6818,70.0,0.2985,6,18,24,6,Sangat Lembab,Morning
4954,2011-07-30,Fall,2011,Jul,7,0,Saturday,Weekend,Clear,0.76,0.7273,66.0,0.194,3,39,42,6,Sangat Lembab,Morning
4955,2011-07-30,Fall,2011,Jul,8,0,Saturday,Weekend,Clear,0.78,0.7424,59.0,0.2239,27,87,114,6,Normal,Morning
4956,2011-07-30,Fall,2011,Jul,9,0,Saturday,Weekend,Clear,0.82,0.7576,46.0,0.2985,49,125,174,6,Normal,Morning
4957,2011-07-30,Fall,2011,Jul,10,0,Saturday,Weekend,Clear,0.82,0.7424,41.0,0.2985,79,182,261,6,Sangat kering,Morning
4958,2011-07-30,Fall,2011,Jul,11,0,Saturday,Weekend,Clear,0.84,0.7424,36.0,0.194,111,206,317,6,Sangat kering,Morning
4959,2011-07-30,Fall,2011,Jul,12,0,Saturday,Weekend,Clear,0.84,0.7273,32.0,0.1642,111,230,341,6,Sangat kering,Afternoon
4960,2011-07-30,Fall,2011,Jul,13,0,Saturday,Weekend,Clear,0.88,0.7576,28.999999999999996,0.0,125,183,308,6,Sangat kering,Afternoon
4961,2011-07-30,Fall,2011,Jul,14,0,Saturday,Weekend,Clear,0.9,0.7879,28.999999999999996,0.0,112,193,305,6,Sangat kering,Afternoon
4962,2011-07-30,Fall,2011,Jul,15,0,Saturday,Weekend,Clear,0.9,0.803,31.0,0.1343,113,189,302,6,Sangat kering,Afternoon
4963,2011-07-30,Fall,2011,Jul,16,0,Saturday,Weekend,Clear,0.9,0.7879,27.0,0.2239,126,176,302,6,Sangat kering,Afternoon
4964,2011-07-30,Fall,2011,Jul,17,0,Saturday,Weekend,Clear,0.9,0.7879,28.999999999999996,0.1045,93,209,302,6,Sangat kering,Afternoon
4965,2011-07-30,Fall,2011,Jul,18,0,Saturday,Weekend,Clear,0.88,0.7576,28.000000000000004,0.194,92,207,299,6,Sangat kering,Evening
4966,2011-07-30,Fall,2011,Jul,19,0,Saturday,Weekend,Clear,0.74,0.6515,33.0,0.2239,101,155,256,6,Sangat kering,Evening
4967,2011-07-30,Fall,2011,Jul,20,0,Saturday,Weekend,Clear,0.82,0.7424,43.0,0.1343,74,132,206,6,Sangat kering,Evening
4968,2011-07-30,Fall,2011,Jul,21,0,Saturday,Weekend,Clear,0.8,0.7424,49.0,0.1642,82,123,205,6,Normal,Evening
4969,2011-07-30,Fall,2011,Jul,22,0,Saturday,Weekend,Clear,0.78,0.7121,52.0,0.1045,80,129,209,6,Normal,Evening
4970,2011-07-30,Fall,2011,Jul,23,0,Saturday,Weekend,Clear,0.76,0.697,55.00000000000001,0.0896,63,114,177,6,Normal,Evening
4971,2011-07-31,Fall,2011,Jul,0,0,Sunday,Weekend,Clear,0.76,0.697,55.00000000000001,0.0896,33,80,113,0,Normal,Night
4972,2011-07-31,Fall,2011,Jul,1,0,Sunday,Weekend,Clear,0.74,0.6818,62.0,0.0896,8,71,79,0,Normal,Night
4973,2011-07-31,Fall,2011,Jul,2,0,Sunday,Weekend,Clear,0.74,0.697,66.0,0.0896,19,48,67,0,Sangat Lembab,Night
4974,2011-07-31,Fall,2011,Jul,3,0,Sunday,Weekend,Clear,0.74,0.697,66.0,0.0,24,26,50,0,Sangat Lembab,Night
4975,2011-07-31,Fall,2011,Jul,4,0,Sunday,Weekend,Clear,0.72,0.6818,70.0,0.0,6,7,13,0,Sangat Lembab,Night
4976,2011-07-31,Fall,2011,Jul,5,0,Sunday,Weekend,Clear,0.72,0.6818,69.0,0.0,4,4,8,0,Sangat Lembab,Night
4977,2011-07-31,Fall,2011,Jul,6,0,Sunday,Weekend,Clear,0.74,0.697,70.0,0.0,5,8,13,0,Sangat Lembab,Morning
4978,2011-07-31,Fall,2011,Jul,7,0,Sunday,Weekend,Clear,0.74,0.6818,57.99999999999999,0.1343,19,26,45,0,Normal,Morning
4979,2011-07-31,Fall,2011,Jul,8,0,Sunday,Weekend,Clear,0.76,0.697,55.00000000000001,0.2239,54,88,142,0,Normal,Morning
4980,2011-07-31,Fall,2011,Jul,9,0,Sunday,Weekend,Clear,0.8,0.7424,49.0,0.0,55,128,183,0,Normal,Morning
4981,2011-07-31,Fall,2011,Jul,10,0,Sunday,Weekend,Clear,0.84,0.7424,36.0,0.1642,91,163,254,0,Sangat kering,Morning
4982,2011-07-31,Fall,2011,Jul,11,0,Sunday,Weekend,Clear,0.86,0.7424,28.000000000000004,0.1642,112,163,275,0,Sangat kering,Morning
4983,2011-07-31,Fall,2011,Jul,12,0,Sunday,Weekend,Clear,0.9,0.7727,25.0,0.194,146,192,338,0,Sangat kering,Afternoon
4984,2011-07-31,Fall,2011,Jul,13,0,Sunday,Weekend,Clear,0.9,0.7727,24.0,0.1343,142,152,294,0,Sangat kering,Afternoon
4985,2011-07-31,Fall,2011,Jul,14,0,Sunday,Weekend,Clear,0.9,0.7727,24.0,0.1642,130,196,326,0,Sangat kering,Afternoon
4986,2011-07-31,Fall,2011,Jul,15,0,Sunday,Weekend,Clear,0.92,0.7727,18.0,0.2985,109,184,293,0,Sangat kering,Afternoon
4987,2011-07-31,Fall,2011,Jul,16,0,Sunday,Weekend,Clear,0.92,0.7727,17.0,0.2836,98,208,306,0,Sangat kering,Afternoon
4988,2011-07-31,Fall,2011,Jul,17,0,Sunday,Weekend,Clear,0.92,0.7727,16.0,0.1642,114,206,320,0,Sangat kering,Afternoon
4989,2011-07-31,Fall,2011,Jul,18,0,Sunday,Weekend,Clear,0.86,0.7879,41.0,0.2836,91,213,304,0,Sangat kering,Evening
4990,2011-07-31,Fall,2011,Jul,19,0,Sunday,Weekend,Clear,0.8,0.7576,55.00000000000001,0.3284,87,187,274,0,Normal,Evening
4991,2011-07-31,Fall,2011,Jul,20,0,Sunday,Weekend,Clear,0.8,0.7576,55.00000000000001,0.3284,70,205,275,0,Normal,Evening
4992,2011-07-31,Fall,2011,Jul,21,0,Sunday,Weekend,Clear,0.78,0.7424,59.0,0.2985,68,96,164,0,Normal,Evening
4993,2011-07-31,Fall,2011,Jul,22,0,Sunday,Weekend,Clear,0.74,0.697,70.0,0.2985,25,71,96,0,Sangat Lembab,Evening
4994,2011-07-31,Fall,2011,Jul,23,0,Sunday,Weekend,Clear,0.74,0.697,66.0,0.2239,14,56,70,0,Sangat Lembab,Evening
4995,2011-08-01,Fall,2011,Aug,0,0,Monday,Weekdays,Clear,0.72,0.6818,70.0,0.2239,7,22,29,1,Sangat Lembab,Night
4996,2011-08-01,Fall,2011,Aug,1,0,Monday,Weekdays,Clear,0.72,0.697,74.0,0.194,5,12,17,1,Sangat Lembab,Night
4997,2011-08-01,Fall,2011,Aug,2,0,Monday,Weekdays,Clear,0.7,0.6667,74.0,0.1045,4,7,11,1,Sangat Lembab,Night
4998,2011-08-01,Fall,2011,Aug,3,0,Monday,Weekdays,Clear,0.7,0.6667,79.0,0.1642,0,4,4,1,Sangat Lembab,Night
4999,2011-08-01,Fall,2011,Aug,4,0,Monday,Weekdays,Clear,0.66,0.6061,83.0,0.1343,2,2,4,1,Sangat Lembab,Night
5000,2011-08-01,Fall,2011,Aug,5,0,Monday,Weekdays,Clear,0.66,0.6061,83.0,0.1045,2,24,26,1,Sangat Lembab,Night
5001,2011-08-01,Fall,2011,Aug,6,0,Monday,Weekdays,Clear,0.66,0.6061,83.0,0.0896,3,97,100,1,Sangat Lembab,Morning
5002,2011-08-01,Fall,2011,Aug,7,0,Monday,Weekdays,Clear,0.74,0.6818,62.0,0.0,24,258,282,1,Normal,Morning
5003,2011-08-01,Fall,2011,Aug,8,0,Monday,Weekdays,Clear,0.8,0.7273,43.0,0.194,35,347,382,1,Sangat kering,Morning
5004,2011-08-01,Fall,2011,Aug,9,0,Monday,Weekdays,Clear,0.82,0.7424,41.0,0.0,27,139,166,1,Sangat kering,Morning
5005,2011-08-01,Fall,2011,Aug,10,0,Monday,Weekdays,Clear,0.86,0.7576,36.0,0.1642,27,70,97,1,Sangat kering,Morning
5006,2011-08-01,Fall,2011,Aug,11,0,Monday,Weekdays,Clear,0.88,0.7727,32.0,0.1642,53,66,119,1,Sangat kering,Morning
5007,2011-08-01,Fall,2011,Aug,12,0,Monday,Weekdays,Clear,0.9,0.803,33.0,0.2537,53,115,168,1,Sangat kering,Afternoon
5008,2011-08-01,Fall,2011,Aug,13,0,Monday,Weekdays,Clear,0.9,0.803,31.0,0.2985,38,112,150,1,Sangat kering,Afternoon
5009,2011-08-01,Fall,2011,Aug,14,0,Monday,Weekdays,Clear,0.92,0.8182,28.999999999999996,0.194,37,86,123,1,Sangat kering,Afternoon
5010,2011-08-01,Fall,2011,Aug,15,0,Monday,Weekdays,Clear,0.9,0.7879,27.0,0.0,52,77,129,1,Sangat kering,Afternoon
5011,2011-08-01,Fall,2011,Aug,16,0,Monday,Weekdays,Clear,0.9,0.7879,27.0,0.0,34,197,231,1,Sangat kering,Afternoon
5012,2011-08-01,Fall,2011,Aug,17,0,Monday,Weekdays,Clear,0.76,0.6818,45.0,0.2985,69,445,514,1,Normal,Afternoon
5013,2011-08-01,Fall,2011,Aug,18,0,Monday,Weekdays,Clear,0.78,0.697,43.0,0.194,68,475,543,1,Sangat kering,Evening
5014,2011-08-01,Fall,2011,Aug,19,0,Monday,Weekdays,Clear,0.74,0.6667,51.0,0.2239,63,350,413,1,Normal,Evening
5015,2011-08-01,Fall,2011,Aug,20,0,Monday,Weekdays,Clear,0.72,0.6818,62.0,0.2239,49,256,305,1,Normal,Evening
5016,2011-08-01,Fall,2011,Aug,21,0,Monday,Weekdays,Clear,0.7,0.6515,70.0,0.2537,42,178,220,1,Sangat Lembab,Evening
5017,2011-08-01,Fall,2011,Aug,22,0,Monday,Weekdays,Clear,0.7,0.6515,70.0,0.0896,21,116,137,1,Sangat Lembab,Evening
5018,2011-08-01,Fall,2011,Aug,23,0,Monday,Weekdays,Clear,0.68,0.6364,74.0,0.194,14,82,96,1,Sangat Lembab,Evening
5019,2011-08-02,Fall,2011,Aug,0,0,Tuesday,Weekdays,Clear,0.66,0.6212,74.0,0.0,11,18,29,2,Sangat Lembab,Night
5020,2011-08-02,Fall,2011,Aug,1,0,Tuesday,Weekdays,Clear,0.66,0.6212,74.0,0.1045,4,8,12,2,Sangat Lembab,Night
5021,2011-08-02,Fall,2011,Aug,2,0,Tuesday,Weekdays,Clear,0.68,0.6364,69.0,0.0,2,6,8,2,Sangat Lembab,Night
5022,2011-08-02,Fall,2011,Aug,3,0,Tuesday,Weekdays,Clear,0.66,0.6212,74.0,0.194,0,5,5,2,Sangat Lembab,Night
5023,2011-08-02,Fall,2011,Aug,4,0,Tuesday,Weekdays,Clear,0.66,0.6212,74.0,0.1045,0,10,10,2,Sangat Lembab,Night
5024,2011-08-02,Fall,2011,Aug,5,0,Tuesday,Weekdays,Clear,0.66,0.6212,74.0,0.1343,4,17,21,2,Sangat Lembab,Night
5025,2011-08-02,Fall,2011,Aug,6,0,Tuesday,Weekdays,Clear,0.68,0.6364,69.0,0.1045,12,105,117,2,Sangat Lembab,Morning
5026,2011-08-02,Fall,2011,Aug,7,0,Tuesday,Weekdays,Clear,0.72,0.6667,61.0,0.2836,15,320,335,2,Normal,Morning
5027,2011-08-02,Fall,2011,Aug,8,0,Tuesday,Weekdays,Clear,0.74,0.6818,57.99999999999999,0.2836,37,398,435,2,Normal,Morning
5028,2011-08-02,Fall,2011,Aug,9,0,Tuesday,Weekdays,Clear,0.78,0.697,46.0,0.2985,31,182,213,2,Normal,Morning
5029,2011-08-02,Fall,2011,Aug,10,0,Tuesday,Weekdays,Clear,0.82,0.7273,36.0,0.2985,50,90,140,2,Sangat kering,Morning
5030,2011-08-02,Fall,2011,Aug,11,0,Tuesday,Weekdays,Clear,0.84,0.7273,32.0,0.4179,32,96,128,2,Sangat kering,Morning
5031,2011-08-02,Fall,2011,Aug,12,0,Tuesday,Weekdays,Clear,0.86,0.7424,30.0,0.2836,45,112,157,2,Sangat kering,Afternoon
5032,2011-08-02,Fall,2011,Aug,13,0,Tuesday,Weekdays,Clear,0.86,0.7424,30.0,0.2239,50,153,203,2,Sangat kering,Afternoon
5033,2011-08-02,Fall,2011,Aug,14,0,Tuesday,Weekdays,Clear,0.9,0.7727,25.0,0.2836,45,114,159,2,Sangat kering,Afternoon
5034,2011-08-02,Fall,2011,Aug,15,0,Tuesday,Weekdays,Clear,0.9,0.7727,25.0,0.2836,48,120,168,2,Sangat kering,Afternoon
5035,2011-08-02,Fall,2011,Aug,16,0,Tuesday,Weekdays,Clear,0.9,0.7727,25.0,0.2836,58,216,274,2,Sangat kering,Afternoon
5036,2011-08-02,Fall,2011,Aug,17,0,Tuesday,Weekdays,Misty,0.9,0.7879,27.0,0.1343,63,493,556,2,Sangat kering,Afternoon
5037,2011-08-02,Fall,2011,Aug,18,0,Tuesday,Weekdays,Misty,0.86,0.7576,34.0,0.194,65,491,556,2,Sangat kering,Evening
5038,2011-08-02,Fall,2011,Aug,19,0,Tuesday,Weekdays,Misty,0.86,0.7576,36.0,0.2239,85,369,454,2,Sangat kering,Evening
5039,2011-08-02,Fall,2011,Aug,20,0,Tuesday,Weekdays,Misty,0.82,0.7576,46.0,0.2537,40,248,288,2,Normal,Evening
5040,2011-08-02,Fall,2011,Aug,21,0,Tuesday,Weekdays,Clear,0.8,0.7424,52.0,0.2239,53,201,254,2,Normal,Evening
5041,2011-08-02,Fall,2011,Aug,22,0,Tuesday,Weekdays,Misty,0.78,0.7424,59.0,0.1642,22,169,191,2,Normal,Evening
5042,2011-08-02,Fall,2011,Aug,23,0,Tuesday,Weekdays,Misty,0.8,0.7424,49.0,0.1642,29,103,132,2,Normal,Evening
5043,2011-08-03,Fall,2011,Aug,0,0,Wednesday,Weekdays,Misty,0.8,0.7424,49.0,0.1642,11,32,43,3,Normal,Night
5044,2011-08-03,Fall,2011,Aug,1,0,Wednesday,Weekdays,Misty,0.78,0.7121,52.0,0.1642,7,9,16,3,Normal,Night
5045,2011-08-03,Fall,2011,Aug,2,0,Wednesday,Weekdays,Misty,0.78,0.7121,49.0,0.1642,2,9,11,3,Normal,Night
5046,2011-08-03,Fall,2011,Aug,3,0,Wednesday,Weekdays,Misty,0.76,0.697,55.00000000000001,0.0896,0,4,4,3,Normal,Night
5047,2011-08-03,Fall,2011,Aug,4,0,Wednesday,Weekdays,Misty,0.76,0.697,52.0,0.1642,0,7,7,3,Normal,Night
5048,2011-08-03,Fall,2011,Aug,5,0,Wednesday,Weekdays,Misty,0.76,0.697,55.00000000000001,0.0896,2,22,24,3,Normal,Night
5049,2011-08-03,Fall,2011,Aug,6,0,Wednesday,Weekdays,Light_rainsnow,0.72,0.6818,66.0,0.4925,9,101,110,3,Sangat Lembab,Morning
5050,2011-08-03,Fall,2011,Aug,7,0,Wednesday,Weekdays,Misty,0.74,0.6667,51.0,0.2239,19,252,271,3,Normal,Morning
5051,2011-08-03,Fall,2011,Aug,8,0,Wednesday,Weekdays,Misty,0.74,0.6667,51.0,0.1642,29,408,437,3,Normal,Morning
5052,2011-08-03,Fall,2011,Aug,9,0,Wednesday,Weekdays,Misty,0.74,0.6818,55.00000000000001,0.194,23,172,195,3,Normal,Morning
5053,2011-08-03,Fall,2011,Aug,10,0,Wednesday,Weekdays,Light_rainsnow,0.74,0.6818,57.99999999999999,0.0896,9,59,68,3,Normal,Morning
5054,2011-08-03,Fall,2011,Aug,11,0,Wednesday,Weekdays,Misty,0.74,0.6818,57.99999999999999,0.1045,29,93,122,3,Normal,Morning
5055,2011-08-03,Fall,2011,Aug,12,0,Wednesday,Weekdays,Light_rainsnow,0.76,0.697,55.00000000000001,0.1343,19,142,161,3,Normal,Afternoon
5056,2011-08-03,Fall,2011,Aug,13,0,Wednesday,Weekdays,Misty,0.76,0.7121,57.99999999999999,0.2239,37,107,144,3,Normal,Afternoon
5057,2011-08-03,Fall,2011,Aug,14,0,Wednesday,Weekdays,Misty,0.76,0.7121,57.99999999999999,0.2239,43,104,147,3,Normal,Afternoon
5058,2011-08-03,Fall,2011,Aug,15,0,Wednesday,Weekdays,Misty,0.7,0.6667,79.0,0.1343,31,87,118,3,Sangat Lembab,Afternoon
5059,2011-08-03,Fall,2011,Aug,16,0,Wednesday,Weekdays,Light_rainsnow,0.68,0.6364,79.0,0.0,21,129,150,3,Sangat Lembab,Afternoon
5060,2011-08-03,Fall,2011,Aug,17,0,Wednesday,Weekdays,Misty,0.7,0.6667,79.0,0.0,47,378,425,3,Sangat Lembab,Afternoon
5061,2011-08-03,Fall,2011,Aug,18,0,Wednesday,Weekdays,Light_rainsnow,0.7,0.6667,84.0,0.0,49,443,492,3,Sangat Lembab,Evening
5062,2011-08-03,Fall,2011,Aug,19,0,Wednesday,Weekdays,Light_rainsnow,0.7,0.6667,84.0,0.0,51,270,321,3,Sangat Lembab,Evening
5063,2011-08-03,Fall,2011,Aug,20,0,Wednesday,Weekdays,Light_rainsnow,0.7,0.6667,84.0,0.1045,7,80,87,3,Sangat Lembab,Evening
5064,2011-08-03,Fall,2011,Aug,21,0,Wednesday,Weekdays,Misty,0.68,0.6364,89.0,0.1343,7,81,88,3,Sangat Lembab,Evening
5065,2011-08-03,Fall,2011,Aug,22,0,Wednesday,Weekdays,Light_rainsnow,0.68,0.6364,89.0,0.1045,11,66,77,3,Sangat Lembab,Evening
5066,2011-08-03,Fall,2011,Aug,23,0,Wednesday,Weekdays,Misty,0.68,0.6364,89.0,0.0896,4,52,56,3,Sangat Lembab,Evening
5067,2011-08-04,Fall,2011,Aug,0,0,Thursday,Weekdays,Misty,0.68,0.6364,89.0,0.0896,2,15,17,4,Sangat Lembab,Night
5068,2011-08-04,Fall,2011,Aug,1,0,Thursday,Weekdays,Misty,0.66,0.5909,94.0,0.0896,3,14,17,4,Sangat Lembab,Night
5069,2011-08-04,Fall,2011,Aug,2,0,Thursday,Weekdays,Misty,0.66,0.5909,94.0,0.0896,2,5,7,4,Sangat Lembab,Night
5070,2011-08-04,Fall,2011,Aug,3,0,Thursday,Weekdays,Light_rainsnow,0.66,0.5909,94.0,0.0896,0,3,3,4,Sangat Lembab,Night
5071,2011-08-04,Fall,2011,Aug,4,0,Thursday,Weekdays,Misty,0.68,0.6364,89.0,0.0,0,7,7,4,Sangat Lembab,Night
5072,2011-08-04,Fall,2011,Aug,5,0,Thursday,Weekdays,Misty,0.68,0.6364,89.0,0.0,3,17,20,4,Sangat Lembab,Night
5073,2011-08-04,Fall,2011,Aug,6,0,Thursday,Weekdays,Misty,0.68,0.6364,89.0,0.2985,7,90,97,4,Sangat Lembab,Morning
5074,2011-08-04,Fall,2011,Aug,7,0,Thursday,Weekdays,Misty,0.68,0.6364,89.0,0.2985,11,271,282,4,Sangat Lembab,Morning
5075,2011-08-04,Fall,2011,Aug,8,0,Thursday,Weekdays,Misty,0.7,0.6515,82.0,0.3582,29,369,398,4,Sangat Lembab,Morning
5076,2011-08-04,Fall,2011,Aug,9,0,Thursday,Weekdays,Clear,0.72,0.697,74.0,0.3284,25,162,187,4,Sangat Lembab,Morning
5077,2011-08-04,Fall,2011,Aug,10,0,Thursday,Weekdays,Clear,0.72,0.6667,71.0,0.2985,24,89,113,4,Sangat Lembab,Morning
